Id, StartDay, StartTime, EndDay, EndTime, TotalTime(s), TotalCapSize, Caplen (bytes), AvgRate, PeakRate
201102070035, Mon, 00:35:05, Mon, 01:35:04, 3599.86, 213.77MB, 1514, 510.70Kbps, 3.14Mbps
201102070135, Mon, 01:35:05, Mon, 02:35:04, 3599.74, 156.48MB, 1514, 401.22Kbps, 3.08Mbps
201102070235, Mon, 02:35:05, Mon, 03:35:04, 3599.48, 30.49MB, 1514, 71.06Kbps, 1.05Mbps
201102070335, Mon, 03:35:05, Mon, 04:35:04, 3599.70, 30.23MB, 1514, 70.43Kbps, 1.00Mbps
201102070435, Mon, 04:35:05, Mon, 05:35:04, 3599.76, 33.82MB, 1514, 78.82Kbps, 1.05Mbps
201102070535, Mon, 05:35:05, Mon, 06:35:04, 3599.78, 50.64MB, 1514, 118.04Kbps, 1.35Mbps
201102070635, Mon, 06:35:05, Mon, 07:35:04, 3599.75, 59.07MB, 1514, 137.65Kbps, 2.10Mbps
201102070735, Mon, 07:35:05, Mon, 08:26:41, 3096.65, 117.18MB, 1514, 320.01Kbps, 3.16Mbps
201102070835, Mon, 08:35:02, Mon, 09:35:02, 3599.96, 169.71MB, 1514, 395.40Kbps, 3.03Mbps
201102070935, Mon, 09:35:02, Mon, 09:54:53, 1191.97, 70.89MB, 1514, 503.23Kbps, 1.95Mbps
201102071000, Mon, 10:00:05, Mon, 11:00:05, 3599.28, 207.94MB, 1514, 484.65Kbps, 4.31Mbps
201102071100, Mon, 11:00:05, Mon, 12:00:05, 3599.94, 79.77MB, 1514, 217.41Kbps, 3.22Mbps
201102071200, Mon, 12:00:05, Mon, 13:00:05, 3599.99, 131.81MB, 1514, 307.19Kbps, 2.59Mbps
201102071300, Mon, 13:00:05, Mon, 14:00:05, 3599.94, 194.44MB, 1514, 453.15Kbps, 3.40Mbps
201102071400, Mon, 14:00:05, Mon, 15:00:05, 3599.94, 283.88MB, 1514, 661.49Kbps, 5.96Mbps
201102071500, Mon, 15:00:05, Mon, 16:00:04, 3599.95, 244.81MB, 1514, 570.59Kbps, 5.49Mbps
201102071600, Mon, 16:00:05, Mon, 16:55:22, 3317.87, 159.09MB, 1514, 402.83Kbps, 3.54Mbps
201102071710, Mon, 17:10:02, Mon, 18:10:01, 3599.14, 109.26MB, 1514, 255.03Kbps, 2.81Mbps
201102071810, Mon, 18:10:02, Mon, 19:10:02, 3599.73, 115.50MB, 1514, 269.26Kbps, 2.49Mbps
201102071910, Mon, 19:10:02, Mon, 20:10:02, 3599.99, 156.89MB, 1514, 365.55Kbps, 3.22Mbps
201102072010, Mon, 20:10:02, Mon, 21:10:02, 3600.17, 100.00MB, 1514, 233.82Kbps, 1.99Mbps
