Id, StartDay, StartTime, EndDay, EndTime, TotalTime(s), TotalCapSize, Caplen (bytes), AvgRate, PeakRate
201102070035, Mon, 00:35:05, Mon, 01:35:04, 3599.87, 19.28MB, 1514, 45.51Kbps, 418.49Kbps
201102070135, Mon, 01:35:05, Mon, 02:35:05, 3599.91, 13.54MB, 1514, 32.26Kbps, 196.46Kbps
201102070235, Mon, 02:35:05, Mon, 03:35:04, 3599.60, 9.51MB, 1514, 22.16Kbps, 149.56Kbps
201102070335, Mon, 03:35:05, Mon, 04:35:04, 3599.94, 8.98MB, 1514, 20.92Kbps, 266.24Kbps
201102070435, Mon, 04:35:05, Mon, 05:35:05, 3599.84, 11.18MB, 1514, 26.06Kbps, 580.89Kbps
201102070535, Mon, 05:35:05, Mon, 06:35:04, 3599.94, 13.75MB, 1514, 32.05Kbps, 396.19Kbps
201102070635, Mon, 06:35:05, Mon, 07:35:05, 3599.90, 15.01MB, 1514, 34.96Kbps, 378.06Kbps
201102070735, Mon, 07:35:05, Mon, 08:26:42, 3096.97, 26.72MB, 1514, 72.47Kbps, 1.48Mbps
201102070835, Mon, 08:35:02, Mon, 09:35:01, 3599.96, 64.11MB, 1514, 149.40Kbps, 656.73Kbps
201102070935, Mon, 09:35:02, Mon, 09:54:54, 1192.07, 16.28MB, 1514, 114.59Kbps, 645.02Kbps
201102071000, Mon, 10:00:05, Mon, 11:00:05, 3599.25, 50.71MB, 1514, 118.19Kbps, 2.09Mbps
201102071100, Mon, 11:00:05, Mon, 12:00:04, 3599.85, 26.39MB, 1514, 61.49Kbps, 582.26Kbps
201102071200, Mon, 12:00:05, Mon, 13:00:04, 3599.78, 27.77MB, 1514, 64.71Kbps, 518.33Kbps
201102071300, Mon, 13:00:05, Mon, 14:00:04, 3599.85, 33.75MB, 1514, 78.64Kbps, 600.98Kbps
201102071400, Mon, 14:00:05, Mon, 15:00:04, 3599.95, 43.57MB, 1514, 101.52Kbps, 2.21Mbps
201102071500, Mon, 15:00:05, Mon, 16:00:05, 3599.97, 57.73MB, 1514, 134.53Kbps, 2.39Mbps
201102071600, Mon, 16:00:05, Mon, 16:55:23, 3318.53, 43.95MB, 1514, 111.12Kbps, 1.91Mbps
201102071710, Mon, 17:10:02, Mon, 18:10:01, 3599.22, 20.70MB, 1514, 48.28Kbps, 786.18Kbps
201102071810, Mon, 18:10:02, Mon, 19:10:01, 3599.71, 25.17MB, 1514, 58.64Kbps, 654.79Kbps
201102071910, Mon, 19:10:02, Mon, 20:10:01, 3599.98, 30.40MB, 1514, 70.78Kbps, 437.36Kbps
201102072010, Mon, 20:10:02, Mon, 21:10:01, 3599.94, 20.17MB, 1514, 46.98Kbps, 652.42Kbps
201102072110, Mon, 21:10:02, Mon, 22:10:02, 3600.02, 38.61MB, 1514, 89.96Kbps, 601.50Kbps
201102072210, Mon, 22:10:02, Mon, 23:10:02, 3599.96, 19.92MB, 1514, 46.43Kbps, 653.30Kbps
201102072310, Mon, 23:10:02, Tue, 00:10:02, 3600.06, 13.76MB, 1514, 32.16Kbps, 358.61Kbps
201102080010, Tue, 00:10:02, Tue, 01:10:01, 3599.75, 16.16MB, 1514, 37.99Kbps, 410.58Kbps
201102080110, Tue, 01:10:02, Tue, 02:10:02, 3599.92, 14.30MB, 1514, 33.64Kbps, 616.83Kbps
201102080210, Tue, 02:10:02, Tue, 03:10:02, 3600.04, 7.73MB, 1514, 18.04Kbps, 247.57Kbps
201102080310, Tue, 03:10:02, Tue, 04:10:02, 3600.09, 5.09MB, 1514, 11.91Kbps, 128.58Kbps
201102080410, Tue, 04:10:02, Tue, 05:10:01, 3599.82, 5.78MB, 1514, 13.51Kbps, 370.75Kbps
201102080510, Tue, 05:10:02, Tue, 06:10:01, 3599.73, 11.80MB, 1514, 28.52Kbps, 535.32Kbps
201102080610, Tue, 06:10:02, Tue, 07:10:01, 3599.94, 16.80MB, 1514, 39.21Kbps, 482.25Kbps
201102080710, Tue, 07:10:02, Tue, 08:10:01, 3599.80, 8.61MB, 1514, 20.98Kbps, 263.99Kbps
201102080810, Tue, 08:10:02, Tue, 09:10:02, 3599.84, 6.91MB, 1514, 16.22Kbps, 676.70Kbps
201102080910, Tue, 09:10:02, Tue, 10:10:01, 3599.84, 29.47MB, 1514, 68.70Kbps, 683.98Kbps
201102081010, Tue, 10:10:02, Tue, 11:10:01, 3599.93, 33.49MB, 1514, 78.04Kbps, 461.47Kbps
201102081110, Tue, 11:10:02, Tue, 12:10:01, 3599.98, 33.16MB, 1514, 77.29Kbps, 634.70Kbps
